Command	Result
{ arg }	{ argumentOrParameter }
{ attribute }	{ attribute }
{ call }	{ functionCall }
{ callee }	{ functionCallee }
{ class name }	{ className }
{ class }	{ class }
{ comment }	{ comment }
{ funk name }	{ functionName }
{ funk }	{ namedFunction }
{ if state }	{ ifStatement }
{ item }	{ collectionItem }
{ key }	{ collectionKey }
{ lambda }	{ anonymousFunction }
{ list }	{ list }
{ map }	{ map }
{ name }	{ name }
{ regex }	{ regularExpression }
{ section }	{ section }
{ selector }	{ selector }
{ state }	{ statement }
{ type }	{ type }
{ value }	{ value }
{ condition }	{ condition }
{ unit }	{ unit }
{ element }	{ xmlElement }
{ tags }	{ xmlBothTags }
{ start tag }	{ xmlStartTag }
{ end tag }	{ xmlEndTag }
{ char }	{ character }
{ word }	{ word }
{ identifier }	{ identifier }
{ block }	{ paragraph }
{ cell }	{ notebookCell }
{ file }	{ document }
{ line }	{ line }
{ paint }	{ nonWhitespaceSequence }
{ short paint }	{ boundedNonWhitespaceSequence }
{ link }	{ url }
{ token }	{ token }
{ part }	{ part }
{ chapter }	{ chapter }
{ subsection }	{ subSection }
{ subsubsection }	{ subSubSection }
{ paragraph }	{ namedParagraph }
{ subparagraph }	{ subParagraph }
{ environment }	{ environment }
