Command	Result
{ help alphabet }	{ Provides the symbol dictionary.  }
{ help symbols }	{ Provides the symbol dictionary.  }
{ help numbers }	{ Provides the symbol dictionary.  }
{ help punctuation }	{ Provides the symbol dictionary.  }
{ help modifier }	{ Provides the symbol dictionary.  }
{ help special keys }	{ Provides the symbol dictionary.  }
{ help function keys }	{ Provides the symbol dictionary.  }
{ help arrows }	{ Provides the symbol dictionary.  }
{ (help formatters | help format | format help) }	{ Provides the list of formatter keywords.  }
{ help context }	{ Display contextual command info.  }
{ help active }	{ Display contextual command info.  }
{ help search $<$user.text$>$ }	{ Display command info for search phrase.  }
{ help context \{user.help{-}contexts\} }	{ Display command info for selected context.  }
{ help help }	{ Display command info for search phrase.  }
{ help scope }	{ Toggle help scope gui.  }
