Command	Result
{ task version }	{ Insert "task {-}{-}version\textbackslashn".  }
{ task commands }	{ Insert "task commands\textbackslashn".  }
{ task help }	{ Insert "task help\textbackslashn".  }
{ task list }	{ Insert "task list\textbackslashn".  }
{ task list orphans }	{ Insert "task project: list\textbackslashn".  }
{ task list untagged }	{ Insert "task tags.none: list\textbackslashn".  }
{ task list  $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$  }	{ Insert "task list  $<$text$>$ \textbackslashn".  }
{ task list project }	{ Insert "task list project: ".  }
{ task list project  $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$  }	{ Insert "task list project: $<$text$>$ \textbackslashn".  }
{ task add }	{ Insert "task add ".  }
{ task add  $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$  }	{ Insert "task add  $<$text$>$ \textbackslashn".  }
{ task undo }	{ Insert "task undo\textbackslashn".  }
{ (tasks|task next) }	{ Insert "task next\textbackslashn".  }
{ task  \&lt;number\&gt;   edit }	{ Insert "task  $<$number$>$  edit".  }
{ task  \&lt;number\&gt;   done }	{ Insert "task  $<$number$>$  done".  }
{ task  \&lt;number\&gt;   delete }	{ Insert "task  $<$number$>$  delete".  }
